Chronological Number,Title,Year Signed or Completed,Media,Width in CM,Height in CM,Price,Availability,Tag 1, Tag 2, Tag 3
000001,Parachute Girl No. 2: Portrait of Lee,2021,Oil on canvas,25,35,0,0,...,...,...
000002,Horse No. 1,2021,Oil on board,14,14,120,1,animal,horse,small works
000003,Treasure Island to Emeryville No. 4,2021,Oil on board,14,14,120,1,landscape,small works,...
000004,Treasure Island No. 3,2021,Watercolor on paper,14,14,85,1,landscape,...,...
000005,Houseplant No. 1,2021,Watercolor on cold press paper,27.5,18.5,40,1,watercolor,...,...,...
